"team","year","sum"
"Mexico",1970,"6"
"Mexico",1978,"2"
"Mexico",1986,"6"
"Mexico",1994,"4"
"Mexico",1998,"8"
"Mexico",2002,"4"
"Mexico",2006,"5"
"Mexico",2010,"4"
"Mexico",2014,"5"
"Morocco",1970,"2"
"Morocco",1986,"3"
"Morocco",1994,"2"
"Morocco",1998,"5"
"Netherlands",1934,"2"
"Netherlands",1938,"0"
"Netherlands",1974,"15"
"Netherlands",1978,"15"
"Netherlands",1990,"3"
"Netherlands",1994,"8"
"Netherlands",1998,"13"
"Netherlands",2006,"3"
"Netherlands",2010,"13"
"Netherlands",2014,"15"
"New Zealand",1982,"2"
"New Zealand",2010,"2"
"Nigeria",1994,"7"
"Nigeria",1998,"6"
"Nigeria",2002,"1"
"Nigeria",2010,"3"
"Nigeria",2014,"3"
"North Korea",1966,"5"
"North Korea",2010,"1"
"Northern Ireland",1958,"6"
"Northern Ireland",1982,"5"
"Northern Ireland",1986,"2"
"Norway",1938,"1"
"Norway",1994,"1"
"Norway",1998,"5"
"Paraguay",1930,"1"
"Paraguay",1950,"2"
"Paraguay",1958,"9"
"Paraguay",1986,"4"
"Paraguay",1998,"3"
"Paraguay",2002,"6"
"Paraguay",2006,"2"
"Paraguay",2010,"3"
"Peru",1930,"1"
"Peru",1970,"9"
"Peru",1978,"7"
"Peru",1982,"2"
"Poland",1938,"5"
"Poland",1974,"16"
"Poland",1978,"6"
"Poland",1982,"11"
"Poland",1986,"1"
"Poland",2002,"3"
"Poland",2006,"2"
"Portugal",1966,"17"
"Portugal",1986,"2"
"Portugal",2002,"6"
"Portugal",2006,"7"
"Portugal",2010,"7"
"Portugal",2014,"4"
"Romania",1930,"3"
"Romania",1934,"1"
"Romania",1938,"4"
"Romania",1970,"4"
"Romania",1990,"4"
"Romania",1994,"10"
"Romania",1998,"4"
"Russia",1994,"7"
"Russia",2002,"4"
"Russia",2014,"2"
"Saudi Arabia",1994,"5"
"Saudi Arabia",1998,"2"
"Saudi Arabia",2002,"0"
"Saudi Arabia",2006,"2"
"Scotland",1954,"0"
"Scotland",1958,"4"
"Scotland",1974,"3"
"Scotland",1978,"5"
"Scotland",1982,"8"
"Scotland",1986,"1"
"Scotland",1990,"2"
"Scotland",1998,"2"
"Senegal",2002,"7"
"Serbia",2010,"2"
"Serbia-Montenegro",2006,"2"
"Slovakia",2010,"5"
"Slovenia",2002,"2"
"Slovenia",2010,"3"
"South Africa",1998,"3"
"South Africa",2002,"5"
"South Africa",2010,"3"
"South Korea",1954,"0"
"South Korea",1986,"4"
"South Korea",1990,"1"
"South Korea",1994,"4"
"South Korea",1998,"2"
"South Korea",2002,"8"
"South Korea",2006,"3"
"South Korea",2010,"6"
"South Korea",2014,"3"
"Soviet Union",1958,"3"
"Soviet Union",1962,"9"
"Soviet Union",1966,"10"
"Soviet Union",1970,"6"
"Soviet Union",1982,"7"
"Soviet Union",1986,"12"
"Soviet Union",1990,"4"
"Spain",1934,"4"
"Spain",1950,"10"
"Spain",1962,"2"
"Spain",1966,"4"
"Spain",1978,"2"
"Spain",1982,"4"
"Spain",1986,"11"
"Spain",1990,"6"
"Spain",1994,"10"
"Spain",1998,"8"
"Spain",2002,"10"
"Spain",2006,"9"
"Spain",2010,"7"
"Spain",2014,"4"
"Sweden",1934,"4"
"Sweden",1938,"11"
"Sweden",1950,"11"
"Sweden",1958,"12"
"Sweden",1970,"2"
"Sweden",1974,"7"
"Sweden",1978,"1"
"Sweden",1990,"3"
"Sweden",1994,"15"
"Sweden",2002,"5"
"Sweden",2006,"3"
"Switzerland",1934,"5"
"Switzerland",1938,"5"
"Switzerland",1950,"4"
"Switzerland",1954,"11"
"Switzerland",1962,"2"
"Switzerland",1966,"1"
"Switzerland",1994,"5"
"Switzerland",2006,"4"
"Switzerland",2010,"1"
"Switzerland",2014,"7"
"Togo",2006,"1"
"Trinidad and Tobago",2006,"0"
"Tunisia",1978,"3"
"Tunisia",1998,"1"
"Tunisia",2002,"1"
"Tunisia",2006,"3"
"Turkey",1954,"10"
"Turkey",2002,"10"
"Ukraine",2006,"5"
"United Arab Emirates",1990,"2"
"Uruguay",1930,"15"
"Uruguay",1950,"15"
"Uruguay",1954,"16"
"Uruguay",1962,"4"
"Uruguay",1966,"2"
"Uruguay",1970,"4"
"Uruguay",1974,"1"
"Uruguay",1986,"2"
"Uruguay",1990,"2"
"Uruguay",2002,"4"
"Uruguay",2010,"11"
"Uruguay",2014,"4"
"USA",1930,"7"
"USA",1934,"1"
"USA",1950,"4"
"USA",1990,"2"
"USA",1994,"3"
"USA",1998,"1"
"USA",2002,"7"
"USA",2006,"2"
"USA",2010,"5"
"USA",2014,"5"
"Wales",1958,"4"
"Yugoslavia",1930,"7"
"Yugoslavia",1950,"7"
"Yugoslavia",1954,"2"
"Yugoslavia",1958,"7"
"Yugoslavia",1962,"10"
"Yugoslavia",1974,"12"
"Yugoslavia",1982,"2"
"Yugoslavia",1990,"8"
"Yugoslavia",1998,"5"
"Zaire",1974,"0"
